#SampleID	Dataset	FullName	Acronyme	Season	Site	Condition	Replicat
APR-COP-WAT-1	4	APR-COP-WAT-1	APR-COP-WAT-1	APR	COP	WAT	1
APR-COP-WAT-2	5	APR-COP-WAT-2	APR-COP-WAT-2	APR	COP	WAT	2
APR-COP-WAT-3	6	APR-COP-WAT-3	APR-COP-WAT-3	APR	COP	WAT	3
APR-LIV-WAT-1	10	APR-LIV-WAT-1	APR-LIV-WAT-1	APR	LIV	WAT	1
APR-LIV-WAT-2	11	APR-LIV-WAT-2	APR-LIV-WAT-2	APR	LIV	WAT	2
APR-LIV-WAT-3	12	APR-LIV-WAT-3	APR-LIV-WAT-3	APR	LIV	WAT	3
APR-TOB-WAT-1	16	APR-TOB-WAT-1	APR-TOB-WAT-1	APR	TOB	WAT	1
APR-TOB-WAT-2	17	APR-TOB-WAT-2	APR-TOB-WAT-2	APR	TOB	WAT	2
APR-TOB-WAT-3	18	APR-TOB-WAT-3	APR-TOB-WAT-3	APR	TOB	WAT	3
AUG-COP-WAT-1	22	AUG-COP-WAT-1	AUG-COP-WAT-1	AUG	COP	WAT	1
AUG-COP-WAT-2	23	AUG-COP-WAT-2	AUG-COP-WAT-2	AUG	COP	WAT	2
AUG-COP-WAT-3	24	AUG-COP-WAT-3	AUG-COP-WAT-3	AUG	COP	WAT	3
AUG-LIV-WAT-1	28	AUG-LIV-WAT-1	AUG-LIV-WAT-1	AUG	LIV	WAT	1
AUG-LIV-WAT-2	29	AUG-LIV-WAT-2	AUG-LIV-WAT-2	AUG	LIV	WAT	2
AUG-LIV-WAT-3	30	AUG-LIV-WAT-3	AUG-LIV-WAT-3	AUG	LIV	WAT	3
AUG-TOB-WAT-1	34	AUG-TOB-WAT-1	AUG-TOB-WAT-1	AUG	TOB	WAT	1
AUG-TOB-WAT-2	35	AUG-TOB-WAT-2	AUG-TOB-WAT-2	AUG	TOB	WAT	2
AUG-TOB-WAT-3	36	AUG-TOB-WAT-3	AUG-TOB-WAT-3	AUG	TOB	WAT	3
JUN-COP-WAT-1	76	JUN-COP-WAT-1	JUN-COP-WAT-1	JUN	COP	WAT	1
JUN-COP-WAT-2	77	JUN-COP-WAT-2	JUN-COP-WAT-2	JUN	COP	WAT	2
JUN-COP-WAT-3	78	JUN-COP-WAT-3	JUN-COP-WAT-3	JUN	COP	WAT	3
JUN-LIV-WAT-1	82	JUN-LIV-WAT-1	JUN-LIV-WAT-1	JUN	LIV	WAT	1
JUN-LIV-WAT-2	83	JUN-LIV-WAT-2	JUN-LIV-WAT-2	JUN	LIV	WAT	2
JUN-LIV-WAT-3	84	JUN-LIV-WAT-3	JUN-LIV-WAT-3	JUN	LIV	WAT	3
JUN-TOB-WAT-1	88	JUN-TOB-WAT-1	JUN-TOB-WAT-1	JUN	TOB	WAT	1
JUN-TOB-WAT-2	89	JUN-TOB-WAT-2	JUN-TOB-WAT-2	JUN	TOB	WAT	2
JUN-TOB-WAT-3	90	JUN-TOB-WAT-3	JUN-TOB-WAT-3	JUN	TOB	WAT	3
OCT-COP-WAT-1	94	OCT-COP-WAT-1	OCT-COP-WAT-1	OCT	COP	WAT	1
OCT-COP-WAT-2	95	OCT-COP-WAT-2	OCT-COP-WAT-2	OCT	COP	WAT	2
OCT-COP-WAT-3	96	OCT-COP-WAT-3	OCT-COP-WAT-3	OCT	COP	WAT	3
OCT-LIV-WAT-1	100	OCT-LIV-WAT-1	OCT-LIV-WAT-1	OCT	LIV	WAT	1
OCT-LIV-WAT-2	101	OCT-LIV-WAT-2	OCT-LIV-WAT-2	OCT	LIV	WAT	2
OCT-LIV-WAT-3	102	OCT-LIV-WAT-3	OCT-LIV-WAT-3	OCT	LIV	WAT	3
OCT-TOB-WAT-1	106	OCT-TOB-WAT-1	OCT-TOB-WAT-1	OCT	TOB	WAT	1
OCT-TOB-WAT-2	107	OCT-TOB-WAT-2	OCT-TOB-WAT-2	OCT	TOB	WAT	2
OCT-TOB-WAT-3	108	OCT-TOB-WAT-3	OCT-TOB-WAT-3	OCT	TOB	WAT	3
